Job Title,Salary Estimate,salary_min,salary_max,salary_avg,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,Easy Apply
Data Analyst,82-116 ,82,116,99.0,3.7,"Take-Two
3.7","Novato, CA","New York, NY",1001 to 5000 employees,1993,Company - Public,Video Games,Media,$1 to $2 billion (USD),"Activision Blizzard, Electronic Arts",0
CSV Data Validation Analyst,82-116 ,82,116,99.0,3.9,"Netpace, Inc.
3.9","Foster City, CA","San Ramon, CA",51 to 200 employees,1996,Company - Private,Enterprise Software & Network Solutions,Information Technology,$10 to $25 million (USD),-1,0
Senior Data and Fraud Analyst,82-116 ,82,116,99.0,-1.0,Apto Payments,"San Francisco, CA","San Francisco, CA",1 to 50 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1,0
Data and Reporting Analyst,82-116 ,82,116,99.0,3.2,"Chinese Community Health Plan
3.2","San Francisco, CA","San Francisco, CA",51 to 200 employees,-1,Company - Private,Insurance Carriers,Insurance,Unknown / Non-Applicable,-1,0
Upstart - Data Analyst,82-116 ,82,116,99.0,-1.0,V3 Talent Partners Inc.,"San Mateo, CA","Los Angeles, CA",Unknown,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1,0
"Position for Lead Data Analyst (Teradata, Oracle, Hadoop)",65-120 ,65,120,92.5,3.7,"Arkhya Tech
3.7","San Francisco, CA","Herndon, VA",1 to 50 employees,2017,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,-1,0
"Data Analyst, Transaction Monitoring",65-120 ,65,120,92.5,-1.0,Wish.com,"San Francisco, CA","Keswick, VA",1 to 50 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1,0
Fleet Optimization Data Analyst (Solar + Storage),65-120 ,65,120,92.5,3.2,"Stem Inc
3.2","Millbrae, CA","Millbrae, CA",51 to 200 employees,2009,Company - Private,Energy,"Oil, Gas, Energy & Utilities",$25 to $50 million (USD),-1,0
Big Data Analyst,65-120 ,65,120,92.5,3.7,"Redolent, Inc
3.7","San Mateo, CA","Newark, CA",1 to 50 employees,-1,Company - Private,"Health, Beauty, & Fitness",Consumer Services,Less than $1 million (USD),-1,0
Business Data Analyst,65-120 ,65,120,92.5,3.8,"VLink Inc.
3.8","San Francisco, CA","South Windsor, CT",201 to 500 employees,2006,Company - Private,IT Services,Information Technology,$25 to $50 million (USD),-1,0
Data Analyst,65-120 ,65,120,92.5,4.0,"Lorven Technologies Inc
4.0","San Francisco, CA","Plainsboro, NJ",1 to 50 employees,-1,Company - Private,Accounting,Accounting & Legal,Less than $1 million (USD),-1,0
