work_year,job_title,job_category,salary_currency,salary_local,salary_in_usd,employee_residence,experience_level,employment_type,remote_ratio,company_location,company_country,company_size,data_source,work_setting_standardized
,Data Analyst,,USA,72000.0,72000.0,,,,,"Brooklyn, NY",United States,Small,Glassdoor Data Analyst Jobs,
,Market Research Data Analyst - Physician Technology,,USA,72000.0,72000.0,,,,,"New York, NY",United States,Large,Glassdoor Data Analyst Jobs,
,Data Analyst,,USA,72000.0,72000.0,,,,,"New York, NY",United States,Small,Glassdoor Data Analyst Jobs,
,Look ML Data Analyst,,USA,72000.0,72000.0,,,,,"New York, NY",United States,Large,Glassdoor Data Analyst Jobs,
,Data Collection Analyst,,USA,72000.0,72000.0,,,,,"New York, NY",United States,Large,Glassdoor Data Analyst Jobs,
,Data Analyst,,USA,72000.0,72000.0,,,,,"New York, NY",United States,Large,Glassdoor Data Analyst Jobs,
,DATA ENTRY/ BILLING ANALYST,,USA,72000.0,72000.0,,,,,"Queens Village, NY",United States,Large,Glassdoor Data Analyst Jobs,
,Student Persistence Initiative Data Analyst/Scientist,,USA,72000.0,72000.0,,,,,"New York, NY",United States,Large,Glassdoor Data Analyst Jobs,
,Data Quality Analyst,,USA,72000.0,72000.0,,,,,"New York, NY",United States,Small,Glassdoor Data Analyst Jobs,
,Data Governance Analyst,,USA,72000.0,72000.0,,,,,"New York, NY",United States,Medium,Glassdoor Data Analyst Jobs,
,Sr. Business Intelligence Engineer / Data Analyst,,USA,72000.0,72000.0,,,,,"New York, NY",United States,Large,Glassdoor Data Analyst Jobs,
,Data Analyst,,USA,72000.0,72000.0,,,,,"Brooklyn, NY",United States,Unknown,Glassdoor Data Analyst Jobs,
,Data Analyst,,USA,72000.0,72000.0,,,,,"New York, NY",United States,Large,Glassdoor Data Analyst Jobs,
,Data Analyst,,USA,59500.0,59500.0,,,,,"New York, NY",United States,Large,Glassdoor Data Analyst Jobs,
,Healthcare Data/Reporting Analyst,,USA,59500.0,59500.0,,,,,"New York, NY",United States,Medium,Glassdoor Data Analyst Jobs,
,Data Analyst I - Geriatrics and Palliative Care,,USA,59500.0,59500.0,,,,,"New York, NY",United States,Large,Glassdoor Data Analyst Jobs,
